Chicago St,101,Silver Lake,53
Duke,88,Michigan St,81
Kansas,65,Kentucky,61
Kansas St,72,Missouri KC,51
Lamar,66,Coastal Car,60
Purdue,86,Marquette,71
Memphis,70,Ark Little Rock,62
N Illinois,85,WI Green Bay,65
Georgia St,75,Rice,54
Sam Houston St,72,Hardin-Simmons,56
ULL,113,Louisiana Col,58
Texas,78,New Hampshire,60
Texas Tech,83,Maine,44
S Dakota St,94,Alabama St,63
Air Force,93,Canisius,79
Arizona St,90,San Diego St,68
Colorado,89,Denver,62
Colorado St,80,Winthrop,76
Utah Valley,84,Idaho St,71
New Mexico,103,NE Omaha,71
UC Irvine,91,Chapman,52
Gonzaga,106,Howard,69
Long Beach St,95,S Francisco St,70
Pepperdine,107,Cal Lutheran,82
Portland,89,Walla Walla,52
E Washington,67,Stanford,61
Portland St,111,Willamette,60
Azusa Pacific,92,Colorado Chr,70
Eliz. City St,86,Barton,82
Bloomfield,82,Bowie St,70
NYIT,61,Caldwell,60
Emmanuel GA,107,Coker,105
C Oklahoma,85,Oklahoma Chr,74
Mercyhurst,69,Daemen,55
West Liberty,123,Davis & Elkins,90
Drury,89,SW Baptist,61
Felician,86,Mansfield,72
Flagler,87,Shorter,74
St Martin's,87,Hawaii Hilo,74
Hillsdale,87,Urbana,54
JC Smith,90,Tuskegee,87
Mars Hill,83,S Wesleyan,80
UC San Diego,70,Point Loma,68
Augustana SD,97,Peru St,94
CS Sacramento,74,Notre Dame CA,53
Youngstown St,134,Franciscan OH,46
Grand Valley St,96,Olivet MI,64
Minot St,91,Mayville St,46
MO St Louis,78,Webster Univ,56
Sioux Falls,90,WI Superior,49
Tarleton St,80,Sul Ross,76
Charleston WV,91,Ohio Valley,87
TX A&M K'ville,60,St Mary's TX,53
Shaw NC,93,Salem WV,85
CS Dom. Hills,77,Dominican CA,74
Lincoln MO,88,Missouri S&T,51
Adams St,111,N New Mexico,84
St Edward's,108,SW Univ TX,56
Concordia SP,85,N Central MN,51
Houston Bap,108,Arlington Bap,67
Weber St,110,W Coast Bap,45
Voorhees,72,Erskine,68
Lake Erie,94,Point Park,63
Mississippi Col,77,Southern N.O.,60
Delta St,72,Central Bap,62
Hawaii Pacific,107,New Hope Chr,62
MN Crookston,104,Oak Hills Chr,68
Simon Fraser,93,Capilano,74
West Alabama,95,Oakwood,67
Lock Haven,87,Carlow,67
Benedict,105,Carver Bib,71
S Indiana,93,Brescia,67
NW Nazarene,76,Col of Idaho,70
Buffalo,81,Jacksonville St,76
UCF,68,Gardner Webb,65
Radford,73,East Carolina,66
Georgetown,102,Mt St Mary's,68
Manhattan,80,St Francis NY,79
Maryland,79,Butler,65
UNC Greensboro,82,NC Wesleyan,48
NC A&T,92,Citadel,73
North Carolina,93,Bucknell,81
Penn St,70,Montana,57
Penn,66,Navy,45
Pittsburgh,70,UC Santa Barbara,62
BYU,65,Princeton,56
Rider,89,Hartford,53
Seton Hall,84,Indiana,68
South Florida,75,Stetson,72
West Virginia,98,American Univ,64
W Carolina,76,Hiwassee,57
William & Mary,83,Hampton,76
IPFW,85,Delaware St,71
Savannah St,114,Mid Georgia,80
MA Lowell,76,Marist,73
Minnesota,107,Niagara,81
Northern Iowa,72,Wartburg,43
Creighton,92,Northwestern,88
Oklahoma,108,Ball St,69
SMU,81,Northwestern LA,35
SF Austin,89,St Edward's,66
Missouri St,86,Southern Univ,58
UT San Antonio,79,Texas St,78
TCU,76,South Dakota,71
TN Martin,74,NC Central,57
W Illinois,56,E Illinois,54
WKU,83,KY Wesleyan,53
Valparaiso,94,SIUE,69
UTRGV,82,TAM C. Christi,75
Utah St,83,MS Valley St,47
Cal Poly,76,Holy Names,47
Loy Marymount,76,UC Riverside,64
UNLV,98,Prairie View,63
UC Davis,62,Pacific,58
San Diego,65,Robert Morris,53
Nevada,93,Santa Clara,63
St Mary's CA,76,CS Fullerton,57
UCLA,106,Cent Arkansas,101
Washington St,75,Seattle,59
Pace,102,Adelphi,96
Ald-Broaddus,77,Glenville St,71
Le Moyne,55,American Intl,41
Limestone,80,Anderson SC,71
Ashland,97,California PA,87
Belmont Abbey,89,North Georgia,87
Bentley,89,Stonehill,86
Bloomsburg,70,Georgian Court,59
Bluefield WV,87,Concord,83
Cal Baptist,107,Colorado Chr,70
Carson-Newman,88,UVA-Wise,65
Malone,89,Central St OH,68
Chadron St,72,NE Kearney,69
West Chester,71,Chestnut Hill,45
Chr Brothers,78,Lane,70
Clark Atlanta,98,Young Harris,78
Queens NC,87,Clayton St,67
CS Stanislaus,96,CS San Bern.,91
Dist Columbia,69,Nyack,63
Eckerd,65,Tampa,49
Palm Beach Atl,92,Embry-Riddle FL,70
Findlay,84,Fairmont St,82
Rollins,83,Florida Tech,72
St Anselm,95,Franklin Pierce,76
Shepherd,82,Holy Family,65
Indianapolis,101,Kentucky St,87
King TN,72,Lenoir Rhyne,71
Kutztown,88,Univ Sciences,81
Truman St,79,Lindenwood,67
Permian Basin,85,Lubbock Chr,80
Nova SE,87,Lynn,81
West Florida,84,Miles,66
Wm Jewell,80,MO Western,74
Wingate,71,NC Pembroke,68
